epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,36,,,0.07203427702188492,0.07344309985637665,0.08543938398361206,0.0773736760020256,0.06086431443691254
0,36,0.056346647441387177,,,,,,
1,49,,0.023369306698441505,,,,,
1,73,,,0.0656224936246872,0.06685835868120193,0.07848018407821655,0.07014690339565277,0.03495045378804207
1,73,0.019893351942300797,,,,,,
2,99,,0.016160188242793083,,,,,
2,110,,,0.0577370710670948,0.058870237320661545,0.06915924698114395,0.06135416775941849,0.03386541083455086
2,110,0.016193987801671028,,,,,,
